id_produksi,kode_produk,nama_produk,tanggal_produksi,jumlah_produksi,biaya_produksi,kode_pabrik,keterangan
1.00,PRD001,Produk A,1/1/2023,500.00,2500000.00,PB001,Produksi pertama tahun
2.00,PRD002,Produk B,1/2/2023,300.00,1800000.00,PB002,
3.00,PRD001,Produk A,1/3/2023,700.00,3500000.00,PB001,Tambahan permintaan
4.00,PRD003,Produk C,1/4/2023,400.00,2000000.00,PB003,
5.00,PRD002,Produk B,1/5/2023,350.00,2100000.00,PB002,
6.00,PRD004,Produk D,1/6/2023,150.00,750000.00,PB004,
7.00,PRD003,Produk C,1/7/2023,250.00,1250000.00,PB003,
8.00,PRD001,Produk A,1/8/2023,600.00,3000000.00,PB001,
9.00,PRD002,Produk B,1/9/2023,400.00,2400000.00,PB002,
10.00,PRD003,Produk C,1/10/2023,500.00,2500000.00,PB003,
11.00,PRD004,Produk D,1/11/2023,200.00,1000000.00,PB004,
12.00,PRD002,Produk B,1/12/2023,450.00,2700000.00,PB002,
13.00,PRD003,Produk C,1/13/2023,300.00,1500000.00,PB003,
14.00,PRD001,Produk A,1/14/2023,800.00,4000000.00,PB001,
15.00,PRD004,Produk D,1/15/2023,250.00,1250000.00,PB004,
16.00,PRD002,Produk B,1/16/2023,500.00,3000000.00,PB002,
17.00,PRD003,Produk C,1/17/2023,400.00,2000000.00,PB003,
18.00,PRD001,Produk A,1/18/2023,900.00,4500000.00,PB001,
19.00,PRD004,Produk D,1/19/2023,300.00,1500000.00,PB004,
20.00,PRD002,Produk B,1/20/2023,600.00,3600000.00,PB002,
